"Accepted Symbol","Synonym Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents"
"SONI","","Solanum nigrum","","Solanum","","nigrum","","","","","","","","","","","L.","","","",""
"SONI","SORU4","Solanum rubrum","","Solanum","","rubrum","","","","","","","","","","","auct. non L.","","","",""
"SOPH","","Solanum physalifolium","","Solanum","","physalifolium","","","","","","","","","","","Rusby","","","",""
"SOPH","SOPHN","Solanum physalifolium var. nitidibaccatum","","Solanum","","physalifolium","","","","var.","","nitidibaccatum","","","","","Rusby","(Bitter) Edmonds","","",""
"SOPH","SOSA9","Solanum sarachoides","","Solanum","","sarachoides","","","","","","","","","","","auct. non Sendtn.","","","",""
"SOPH","SOSA8","Solanum sarrachoides","","Solanum","","sarrachoides","","","","","","","","","","","auct. non Sendtn., orth. var.","","","",""
"SOPH","SOVI6","Solanum villosum","","Solanum","","villosum","","","","","","","","","","","auct. non (L.) Mill.","","","",""
"SORO","","Solanum rostratum","","Solanum","","rostratum","","","","","","","","","","","Dunal","","","",""
"SORO","ANRO5","Androcera rostrata","","Androcera","","rostrata","","","","","","","","","","","(Dunal) Rydb.","","","",""
"SORO","SOCO5","Solanum cornutum","","Solanum","","cornutum","","","","","","","","","","","auct. non Lam.","","","",""
"SOLID","","Solidago","","Solidago","","","","","","","","","","","","","","","","",""
"SOCA6","","Solidago canadensis","","Solidago","","canadensis","","","","","","","","","","","L.","","","",""
"SOCAL","","Solidago canadensis var. lepida","","Solidago","","canadensis","","","","var.","","lepida","","","","","L.","(DC.) Cronquist","","",""
"SOCAL","SOCAS3","Solidago canadensis var. subserrata","","Solidago","","canadensis","","","","var.","","subserrata","","","","","L.","(DC.) Cronquist","","",""
"SOCAL","SOLE8","Solidago lepida","","Solidago","","lepida","","","","","","","","","","","DC.","","","",""
"SOCAL","SOLEM","Solidago lepida var. molina","","Solidago","","lepida","","","","var.","","molina","","","","","DC.","Fernald","","",""
"SOCAS","","Solidago canadensis var. salebrosa","","Solidago","","canadensis","","","","var.","","salebrosa","","","","","L.","(Piper) M.E. Jones","","",""
"SOCAS","SOCAE","Solidago canadensis ssp. elongata","","Solidago","","canadensis","ssp.","","elongata","","","","","","","","L.","(Nutt.) D.D. Keck","","",""
"SOCAS","SOCAS4","Solidago canadensis ssp. salebrosa","","Solidago","","canadensis","ssp.","","salebrosa","","","","","","","","L.","(Piper) D.D. Keck","","",""
"SOCAS","SOCAE2","Solidago canadensis var. elongata","","Solidago","","canadensis","","","","var.","","elongata","","","","","L.","(Nutt.) M. Peck","","",""
"SOCAS","SODU3","Solidago dumetorum","","Solidago","","dumetorum","","","","","","","","","","","Lunell","","","",""
"SOCAS","SOEL4","Solidago elongata","","Solidago","","elongata","","","","","","","","","","","Nutt.","","","",""
"SOCAS","SOLEE","Solidago lepida var. elongata","","Solidago","","lepida","","","","var.","","elongata","","","","","DC.","(Nutt.) Fernald","","",""
"SOCAS","SOLEF","Solidago lepida var. fallax","","Solidago","","lepida","","","","var.","","fallax","","","","","DC.","Fernald","","",""
"SOMU","","Solidago multiradiata","","Solidago","","multiradiata","","","","","","","","","","","Aiton","","","",""
"SOMUA","","Solidago multiradiata var. arctica","","Solidago","","multiradiata","","","","var.","","arctica","","","","","Aiton","(DC.) Fernald","","",""
"SOMUA","SOVIA","Solidago virgauera var. arctica","","Solidago","","virgauera","","","","var.","","arctica","","","","","L.","DC.","","",""
